 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Unidade da Federação e Ano
Imuno: 100 Poliomielite 4 anos
Período:1994-2019
"Unidade da Federação";"2017";"2018";"2019";"Total"
"11 Rondônia";0,03;0,03;...;0,03
"12 Acre";2,20;...;0,65;1,87
"13 Amazonas";0,23;0,24;0,06;0,18
"14 Roraima";0,43;0,38;...;0,40
"15 Pará";0,04;0,04;0,03;0,03
"16 Amapá";10,81;...;...;10,81
"17 Tocantins";0,03;0,99;1,02;0,07
"21 Maranhão";2,46;0,27;0,62;1,17
"22 Piauí";0,45;0,13;...;0,29
"23 Ceará";1,02;0,58;0,06;0,60
"24 Rio Grande do Norte";0,42;1,46;0,03;0,60
"25 Paraíba";0,76;0,27;0,36;0,47
"26 Pernambuco";0,76;0,40;0,21;0,54
"27 Alagoas";1,22;1,56;0,74;1,18
"28 Sergipe";0,18;0,05;0,10;0,11
"29 Bahia";0,20;0,05;0,01;0,10
"31 Minas Gerais";0,11;0,13;0,12;0,12
"32 Espírito Santo";0,66;0,35;0,15;0,35
"33 Rio de Janeiro";0,25;0,18;0,01;0,16
"35 São Paulo";0,94;0,83;0,13;0,65
"41 Paraná";0,26;0,11;0,08;0,14
"42 Santa Catarina";0,27;0,27;0,23;0,25
"43 Rio Grande do Sul";0,45;0,76;0,62;0,62
"50 Mato Grosso do Sul";0,54;0,54;0,28;0,47
"51 Mato Grosso";0,63;0,82;0,78;0,75
"52 Goiás";0,34;0,22;0,04;0,21
"53 Distrito Federal";0,22;0,11;0,03;0,12
"Total";0,62;0,47;0,19;0,43
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

